id;semester;kode_mk;mata_kuliah;sks;praktek;teori;kategori_mk;rps;;;;;;;;;created_at;update_at
72;7;MSN405;Kerja Praktek;2;0;2;Wajib;Link;;;;;;;;;28/04/2025 20:01;28/04/2025 20:01
73;7;MSN407;Kuliah Kerja Nyata;4;0;4;Wajib;Link;;;;;;;;;29/04/2025 20:01;29/04/2025 20:01
74;7;MSNXXX;MK Pilihan Keahlian;3;0;0;Pilihan;Link;;;;;;;;;30/04/2025 20:01;30/04/2025 20:01
75;7;MSNXXX;MK Pilihan Keahlian;3;0;0;Pilihan;Link;;;;;;;;;01/05/2025 20:01;01/05/2025 20:01
76;7;MSN501;Teknik Tenaga Surya;3;3;0;Pilihan;Link;;;;;;;;;02/05/2025 20:01;02/05/2025 20:01
77;7;MSN503;Perawatan Mesin;3;3;0;Pilihan;Link;;;;;;;;;03/05/2025 20:01;03/05/2025 20:01
78;7;MSN505;Teknik Tenaga Listrik Lanjut;3;3;0;Pilihan;Link;;;;;;;;;04/05/2025 20:01;04/05/2025 20:01
79;7;MSN507;Bahan Bakar dan Pembakaran;3;3;0;Pilihan;Link;;;;;;;;;05/05/2025 20:01;05/05/2025 20:01
80;7;MSN509;Ketel Uap;3;3;0;Pilihan;Link;;;;;;;;;06/05/2025 20:01;06/05/2025 20:01
81;7;MSN511;Plant Lay Out;3;3;0;Pilihan;Link;;;;;;;;;07/05/2025 20:01;07/05/2025 20:01
82;7;MSN513;Perawatan Mesin;3;3;0;Pilihan;Link;;;;;;;;;08/05/2025 20:01;08/05/2025 20:01
83;7;MSN515;Industri Daur Ulang;3;3;0;Pilihan;Link;;;;;;;;;09/05/2025 20:01;09/05/2025 20:01
84;7;MSN517;Teknik Pengelasan;3;3;0;Pilihan;Link;;;;;;;;;10/05/2025 20:01;10/05/2025 20:01
85;7;MSN519;Teknologi Tepat Guna;3;3;3;Wajib;https://drive.google.com/file/d/1vZ6bqFbNFd69VDzmWvaSh5ERSW6Ee68D/view?usp=drive_link;;;;;;;;;11/05/2025 20:01;11/05/2025 20:01
86;7;MFT402;Tugas Akhir;4;0;4;Wajib;Link;;;;;;;;;12/05/2025 20:01;12/05/2025 20:01
